ts,platform,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_end,shuffle,skipped,count
2022-10-29T20:42:00Z,desktop,161819,DICE,NMIXX,ENTWURF,spotify:track:1QpwvWMQGdOgA8MXXfgs4H,endplay,True,True,7
2022-10-31T03:30:24Z,desktop,25333,"Can't Stop (Seungmin, I.N)",Stray Kids,MAXIDENT,spotify:track:33vfE5bxDMHpOFHMSgxehR,endplay,True,True,6
2023-10-24T05:22:25Z,desktop,1369,My My,SEVENTEEN,Heng:garæ,spotify:track:4rnvC8St4YDHGuQdBEByRz,backbtn,True,True,6
2023-12-15T08:32:47Z,desktop,2960,Galileo,Kep1er,Magic Hour,spotify:track:2nehY8ewjt4clnD40SclwM,endplay,True,True,6
2023-08-02T15:17:39Z,desktop,7035,365,ITZY,CHECKMATE,spotify:track:5J0fF2lLWE6KJMzICG8OHt,endplay,True,True,6
2023-08-02T15:18:27Z,desktop,7383,Don't Wanna Cry,SEVENTEEN,SEVENTEEN 4th Mini Album ‘Al1’,spotify:track:6Upu6yjkdi0DVI8E3IBZEU,endplay,True,True,6
2024-02-26T07:18:56Z,desktop,29082,Dis-ease,BTS,BE,spotify:track:0hxeouHqP3qzpTHerA7ha2,endplay,False,True,6
2023-08-05T00:54:22Z,desktop,5131,dangdang,MAMAMOO+,TWO RABBITS,spotify:track:4wp725MlpbUiyn1NcTMHJ6,endplay,True,True,6
2023-12-20T03:39:08Z,desktop,2880,Raindrops,Jeremih,Jeremih,spotify:track:7Lled03T4oSsArePLpcub3,fwdbtn,False,True,6
2022-10-17T17:28:22Z,desktop,106164,wish that i could,UMI,Forest in the City,spotify:track:5w4q9Es264UdYYr2AjnPhU,fwdbtn,True,True,6
2023-12-06T03:39:12Z,desktop,114944,Magic Island,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,spotify:track:5DcLYkS1rnSgRMfhXNvh0d,endplay,True,True,6
2023-12-06T18:50:27Z,phone,18355,WAVE,IVE,WAVE,spotify:track:2FNgoGLkE4AAOtYkQfiVL4,endplay,True,True,6
2023-12-04T19:21:55Z,phone,286,The DJ is Crying for Help,AJR,The Maybe Man,spotify:track:07gQSDcN9CWD64CsfQ53DT,backbtn,True,True,6
2023-06-29T14:39:40Z,phone,6650,All Eyes On Me,JISOO,ME,spotify:track:2YXswOX5aKv6OHRKUcAMLQ,endplay,True,True,6
2023-05-16T17:49:28Z,phone,1386,B[OO]M-BOXX,ITZY,CRAZY IN LOVE,spotify:track:2RMQFfyDZEyF6Bm8lCdEYu,fwdbtn,True,True,6
2023-08-25T00:48:24Z,phone,81631,Needs,Tinashe,Needs,spotify:track:0Ic42kynfrSAJjTlOr0dWR,fwdbtn,True,True,6
2023-12-19T06:56:41Z,desktop,2159,you're so cool,Tate McRae,i used to think i could fly,spotify:track:5XLgE4yoU9MyR5vkjNxpdF,endplay,True,True,6
2023-06-22T20:05:13Z,phone,1020,CIRCUS,Stray Kids,CIRCUS,spotify:track:2uw2ftfyS4yJLWiTtbxasE,fwdbtn,True,True,6
2023-06-22T20:28:08Z,phone,1050,Chica,CHUNG HA,Flourishing,spotify:track:7Bt5HMVKtBOC5OaE7s3tym,fwdbtn,True,True,6
